Num	Gene_ID
716	ENSG00000123453
717	ENSG00000123505
718	ENSG00000123643
719	ENSG00000123684
720	ENSG00000123689
721	ENSG00000123739
722	ENSG00000123983
723	ENSG00000123989
724	ENSG00000124067
725	ENSG00000124091
726	ENSG00000124164
727	ENSG00000124172
728	ENSG00000124181
729	ENSG00000124212
730	ENSG00000124299
731	ENSG00000124370
732	ENSG00000124523
733	ENSG00000124596
734	ENSG00000124767
735	ENSG00000124784
736	ENSG00000124789
737	ENSG00000125166
738	ENSG00000125356
739	ENSG00000125450
740	ENSG00000125454
741	ENSG00000125458
742	ENSG00000125505
743	ENSG00000125630
744	ENSG00000125651
745	ENSG00000125772
746	ENSG00000125779
747	ENSG00000125834
748	ENSG00000125877
749	ENSG00000126088
750	ENSG00000126267
751	ENSG00000126432
752	ENSG00000126522
753	ENSG00000126821
754	ENSG00000126883
755	ENSG00000126934
756	ENSG00000127080
757	ENSG00000127125
758	ENSG00000127184
759	ENSG00000127334
760	ENSG00000127415
761	ENSG00000127472
762	ENSG00000127540
763	ENSG00000127564
764	ENSG00000127884
765	ENSG00000127947
766	ENSG00000127952
767	ENSG00000128039
768	ENSG00000128050
769	ENSG00000128059
770	ENSG00000128268
771	ENSG00000128274
772	ENSG00000128309
773	ENSG00000128311
774	ENSG00000128524
775	ENSG00000128609
776	ENSG00000128829
777	ENSG00000128918
778	ENSG00000128928
779	ENSG00000128951
780	ENSG00000129083
781	ENSG00000129128
782	ENSG00000129151
783	ENSG00000129187
784	ENSG00000129219
785	ENSG00000129353
786	ENSG00000129562
787	ENSG00000129596
788	ENSG00000129744
789	ENSG00000129951
790	ENSG00000130005
791	ENSG00000130052
792	ENSG00000130066
793	ENSG00000130164
794	ENSG00000130175
795	ENSG00000130203
796	ENSG00000130227
797	ENSG00000130234
798	ENSG00000130313
799	ENSG00000130377
800	ENSG00000130414
801	ENSG00000130508
802	ENSG00000130540
803	ENSG00000130649
804	ENSG00000130669
805	ENSG00000130707
806	ENSG00000130717
807	ENSG00000130758
808	ENSG00000130821
809	ENSG00000130948
810	ENSG00000130958
811	ENSG00000131023
812	ENSG00000131055
813	ENSG00000131067
814	ENSG00000131069
815	ENSG00000131100
816	ENSG00000131143
817	ENSG00000131174
818	ENSG00000131238
819	ENSG00000131373
820	ENSG00000131389
821	ENSG00000131446
822	ENSG00000131459
823	ENSG00000131473
824	ENSG00000131482
825	ENSG00000131495
826	ENSG00000131686
827	ENSG00000131748
828	ENSG00000131791
829	ENSG00000131828
830	ENSG00000131844
831	ENSG00000131873
832	ENSG00000131979
833	ENSG00000132182
834	ENSG00000132196
835	ENSG00000132323
836	ENSG00000132356
837	ENSG00000132376
838	ENSG00000132382
839	ENSG00000132423
840	ENSG00000132437
841	ENSG00000132664
842	ENSG00000132670
843	ENSG00000132744
844	ENSG00000132746
845	ENSG00000132793
846	ENSG00000132915
847	ENSG00000132958
848	ENSG00000132964
849	ENSG00000133027
850	ENSG00000133059
851	ENSG00000133116
852	ENSG00000133121
853	ENSG00000133247
854	ENSG00000133275
855	ENSG00000133315
856	ENSG00000133328
857	ENSG00000133433
858	ENSG00000133475
859	ENSG00000133706
860	ENSG00000133731
861	ENSG00000133742
862	ENSG00000133835
863	ENSG00000134013
864	ENSG00000134058
865	ENSG00000134072
866	ENSG00000134184
867	ENSG00000134202
868	ENSG00000134240
869	ENSG00000134255
870	ENSG00000134294
871	ENSG00000134318
872	ENSG00000134326
873	ENSG00000134333
874	ENSG00000134440
875	ENSG00000134575
876	ENSG00000134602
877	ENSG00000134684
878	ENSG00000134780
879	ENSG00000134824
880	ENSG00000134853
881	ENSG00000134864
882	ENSG00000134882
883	ENSG00000134910
884	ENSG00000135002
885	ENSG00000135047
886	ENSG00000135069
887	ENSG00000135220
888	ENSG00000135226
889	ENSG00000135241
890	ENSG00000135250
891	ENSG00000135318
892	ENSG00000135333
893	ENSG00000135341
894	ENSG00000135372
895	ENSG00000135390
896	ENSG00000135409
897	ENSG00000135446
898	ENSG00000135454
899	ENSG00000135503
900	ENSG00000135587
901	ENSG00000135677
902	ENSG00000135821
903	ENSG00000135929
904	ENSG00000135940
905	ENSG00000136010
906	ENSG00000136098
907	ENSG00000136143
908	ENSG00000136243
909	ENSG00000136247
910	ENSG00000136381
911	ENSG00000136521
912	ENSG00000136573
913	ENSG00000136628
914	ENSG00000136643
915	ENSG00000136699
916	ENSG00000136720
917	ENSG00000136731
918	ENSG00000136807
919	ENSG00000136810
920	ENSG00000136840
921	ENSG00000136856
922	ENSG00000136872
923	ENSG00000136877
924	ENSG00000136888
925	ENSG00000136908
926	ENSG00000137054
927	ENSG00000137106
928	ENSG00000137124
929	ENSG00000137193
930	ENSG00000137198
931	ENSG00000137275
932	ENSG00000137496
933	ENSG00000137563
934	ENSG00000137601
935	ENSG00000137700
936	ENSG00000137713
937	ENSG00000137764
938	ENSG00000137770
939	ENSG00000137869
940	ENSG00000137944
941	ENSG00000137992
942	ENSG00000138018
943	ENSG00000138029
944	ENSG00000138030
945	ENSG00000138031
946	ENSG00000138032
947	ENSG00000138061
948	ENSG00000138074
949	ENSG00000138075
950	ENSG00000138109
951	ENSG00000138135
952	ENSG00000138166
953	ENSG00000138308
954	ENSG00000138363
955	ENSG00000138413
956	ENSG00000138449
957	ENSG00000138604
958	ENSG00000138621
959	ENSG00000138653
960	ENSG00000138744
961	ENSG00000138750
962	ENSG00000138777
963	ENSG00000138796
964	ENSG00000138801
965	ENSG00000138814
966	ENSG00000139053
967	ENSG00000139133
968	ENSG00000139151
969	ENSG00000139155
970	ENSG00000139180
971	ENSG00000139278
972	ENSG00000139304
973	ENSG00000139318
974	ENSG00000139370
975	ENSG00000139410
976	ENSG00000139428
977	ENSG00000139433
978	ENSG00000139496
979	ENSG00000139505
980	ENSG00000139514
981	ENSG00000139531
982	ENSG00000139540
983	ENSG00000139624
984	ENSG00000139625
985	ENSG00000139631
986	ENSG00000139684
987	ENSG00000139718
988	ENSG00000139908
989	ENSG00000139914
990	ENSG00000140105
991	ENSG00000140284
992	ENSG00000140287
993	ENSG00000140374
994	ENSG00000140400
995	ENSG00000140474
996	ENSG00000140505
997	ENSG00000140521
998	ENSG00000140522
999	ENSG00000140598
1000	ENSG00000140612
1001	ENSG00000140650
1002	ENSG00000140740
1003	ENSG00000140905
1004	ENSG00000140990
1005	ENSG00000140992
1006	ENSG00000141012
1007	ENSG00000141179
1008	ENSG00000141279
1009	ENSG00000141338
1010	ENSG00000141349
1011	ENSG00000141401
1012	ENSG00000141424
1013	ENSG00000141429
1014	ENSG00000141446
1015	ENSG00000141503
1016	ENSG00000141504
1017	ENSG00000141526
1018	ENSG00000141551
1019	ENSG00000141560
1020	ENSG00000141698
1021	ENSG00000141736
1022	ENSG00000141873
1023	ENSG00000141959
1024	ENSG00000142046
1025	ENSG00000142082
1026	ENSG00000142102
1027	ENSG00000142168
1028	ENSG00000142208
1029	ENSG00000142513
1030	ENSG00000142627
1031	ENSG00000142657
1032	ENSG00000142731
1033	ENSG00000142733
1034	ENSG00000142875
1035	ENSG00000142949
1036	ENSG00000142973
1037	ENSG00000143036
1038	ENSG00000143149
1039	ENSG00000143156
1040	ENSG00000143158
1041	ENSG00000143179
1042	ENSG00000143198
1043	ENSG00000143199
1044	ENSG00000143224
1045	ENSG00000143252
1046	ENSG00000143315
1047	ENSG00000143344
1048	ENSG00000143363
1049	ENSG00000143379
1050	ENSG00000143387
1051	ENSG00000143393
1052	ENSG00000143398
1053	ENSG00000143418
1054	ENSG00000143507
1055	ENSG00000143515
1056	ENSG00000143552
1057	ENSG00000143554
1058	ENSG00000143570
1059	ENSG00000143595
1060	ENSG00000143630
1061	ENSG00000143641
1062	ENSG00000143653
1063	ENSG00000143727
1064	ENSG00000143753
