Num	Met_ID	Met_name
280	m00157m	(R)-3-hydroxybutanoate
281	m00157s	(R)-3-hydroxybutanoate
282	m00158c	(R)-3-hydroxybutanoyl-[ACP]
283	m00159m	(R)-3-hydroxybutanoyl-CoA
284	m00160c	(R)-3-hydroxydecanoyl-[ACP]
285	m00161c	(R)-3-hydroxyoctanoyl-[ACP]
286	m00162c	(R)-3-hydroxypalmitoyl-[ACP]
287	m00163c	(R)-4-phosphopantothenoyl-cysteine
288	m00163m	(R)-4-phosphopantothenoyl-cysteine
289	m00164c	(R)-5-diphosphomevalonate
290	m00165c	(R)-5-phosphomevalonate
291	m00166m	(R)-methylmalonyl-CoA
292	m00167c	(R)-mevalonate
293	m00167p	(R)-mevalonate
294	m00168c	(R)-S-lactoylglutathione
295	m00170m	(S)-3-hydroxy-11-cis-octadecenoyl-CoA
296	m00171m	(S)-3-hydroxy-2-methylbutyryl-CoA
297	m00172m	(S)-3-hydroxy-7-hexadecenoyl-CoA
298	m00174m	(S)-3-hydroxydodecanoyl-CoA
299	m00175m	(S)-3-hydroxyhexadecanoyl-CoA
300	m00176m	(S)-3-hydroxyoleyleoyl-CoA
301	m00177m	(S)-3-hydroxypalmitoleoyl-CoA
302	m00178m	(S)-3-hydroxytetradecanoyl-CoA
303	m00179c	(S)-3-sulfolactate
304	m00179m	(S)-3-sulfolactate
305	m00180c	(S)-dihydroorotate
306	m00181m	(S)-hydroxydecanoyl-CoA
307	m00182m	(S)-hydroxyhexanoyl-CoA
308	m00183m	(S)-hydroxyoctanoyl-CoA
309	m00184c	[ACP]
310	m00192c	[phosphorylase A]
311	m00193c	[phosphorylase B]
312	m00196c	[protein]
313	m00197c	[protein]-L-arginine
314	m00198l	[protein]-L-asparagine
315	m00198r	[protein]-L-asparagine
316	m00204c	[protein]-L-lysine
317	m00204n	[protein]-L-lysine
318	m00205g	[protein]-L-serine
319	m00205l	[protein]-L-serine
320	m00205r	[protein]-L-serine
321	m00206c	[protein]-L-tyrosine
322	m00211c	[protein]-N6,N6,N6-trimethyl-L-lysine
323	m00211n	[protein]-N6,N6,N6-trimethyl-L-lysine
324	m00211r	[protein]-N6,N6,N6-trimethyl-L-lysine
325	m00212c	[protein]-N6,N6-dimethyl-L-lysine
326	m00212n	[protein]-N6,N6-dimethyl-L-lysine
327	m00213c	[protein]-N6-methyl-L-lysine
328	m00215c	[protein]-omega-N-(ADP-D-ribosyl)-L-arginine
329	m00218c	[protein]-tyrosine-phosphate
330	m00219c	[pyruvate dehydrogenase (acetyl transferring)]
331	m00220c	[pyruvate dehydrogenase (acetyl transferring)]-phosphate
332	m00223c	1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine
333	m00228c	1,1-dichloroethylene
334	m00228s	1,1-dichloroethylene
335	m00229c	1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal
336	m00233c	1,2-diacylglycerol-bile-PC pool
337	m00234s	1,2-diacylglycerol-chylomicron pool
338	m00235c	1,2-diacylglycerol-LD-PC pool
339	m00236c	1,2-diacylglycerol-LD-PE pool
340	m00236r	1,2-diacylglycerol-LD-PE pool
341	m00237c	1,2-diacylglycerol-LD-PI pool
342	m00238c	1,2-diacylglycerol-LD-PS pool
343	m00239c	1,2-diacylglycerol-LD-SM pool
344	m00240c	1,2-diacylglycerol-LD-TAG pool
345	m00240n	1,2-diacylglycerol-LD-TAG pool
346	m00242c	1,2-dibromoethane
347	m00242s	1,2-dibromoethane
348	m00243c	1,2-dihydronaphthalene-1,2-diol
349	m00245c	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one
350	m00247c	1,3-bisphospho-D-glycerate
351	m00248c	1,3-diaminopropane
352	m00252c	10,11-dihydro-12-epi-LTB4
353	m00252m	10,11-dihydro-12-epi-LTB4
354	m00252p	10,11-dihydro-12-epi-LTB4
355	m00253c	10,11-dihydro-12-oxo-LTB4
356	m00253m	10,11-dihydro-12-oxo-LTB4
357	m00253p	10,11-dihydro-12-oxo-LTB4
358	m00254c	10,11-dihydro-12R-hydroxy-LTC4
359	m00254m	10,11-dihydro-12R-hydroxy-LTC4
360	m00254p	10,11-dihydro-12R-hydroxy-LTC4
361	m00255c	10,11-dihydro-20-dihydroxy-LTB4
362	m00256c	10,11-dihydro-20-trihydroxy-LTB4
363	m00257c	10,11-dihydro-LTB4
364	m00257m	10,11-dihydro-LTB4
365	m00257p	10,11-dihydro-LTB4
366	m00257r	10,11-dihydro-LTB4
367	m00258c	10,11-dihydro-LTB4-CoA
368	m00258m	10,11-dihydro-LTB4-CoA
369	m00258p	10,11-dihydro-LTB4-CoA
370	m00258r	10,11-dihydro-LTB4-CoA
371	m00259c	10,11-epoxy-(4Z,7Z)-hexadecadienoic acid
372	m00260c	10,13,16,19-docosatetraenoic acid
373	m00260s	10,13,16,19-docosatetraenoic acid
374	m00261c	10,13,16,19-docosatetraenoylcarnitine
375	m00261m	10,13,16,19-docosatetraenoylcarnitine
376	m00261r	10,13,16,19-docosatetraenoylcarnitine
377	m00262c	10,13,16,19-docosatetraenoyl-CoA
378	m00262m	10,13,16,19-docosatetraenoyl-CoA
379	m00262r	10,13,16,19-docosatetraenoyl-CoA
380	m00263c	10,13,16-docosatrienoylcarnitine
381	m00263m	10,13,16-docosatrienoylcarnitine
382	m00263r	10,13,16-docosatrienoylcarnitine
383	m00264c	10,13,16-docosatrienoyl-CoA
384	m00264m	10,13,16-docosatrienoyl-CoA
385	m00264r	10,13,16-docosatrienoyl-CoA
386	m00265c	10,13,16-docosatriynoic acid
387	m00265s	10,13,16-docosatriynoic acid
388	m00266c	10-formyl-THF
389	m00266l	10-formyl-THF
390	m00266m	10-formyl-THF
391	m00266s	10-formyl-THF
392	m00267c	10-formyl-THF-glu(5)
393	m00267l	10-formyl-THF-glu(5)
394	m00267m	10-formyl-THF-glu(5)
395	m00267s	10-formyl-THF-glu(5)
396	m00268c	10-formyl-THF-glu(6)
397	m00268l	10-formyl-THF-glu(6)
398	m00268m	10-formyl-THF-glu(6)
399	m00268s	10-formyl-THF-glu(6)
400	m00269c	10-formyl-THF-glu(7)
401	m00269l	10-formyl-THF-glu(7)
402	m00269m	10-formyl-THF-glu(7)
403	m00269s	10-formyl-THF-glu(7)
404	m00270c	10-HETE
405	m00276c	11,12,15-THETA
406	m00277c	11,12-DHET
407	m00279c	11,12-EET
408	m00280c	11,14,15-THETA
409	m00286m	11-carboxy-alpha-chromanol
410	m00287m	11-carboxy-alpha-tocotrienol
411	m00288m	11-carboxy-gamma-chromanol
412	m00289m	11-carboxy-gamma-tocotrienol
413	m00290c	11-cis-retinal
414	m00291c	11-cis-retinol
415	m00296c	11h-14,15-EETA
416	m00297c	11-HETE
417	m00305c	12(13)-EpOME
418	m00305r	12(13)-EpOME
419	m00307c	12(S)-HETE
420	m00309c	12(S)-HPETE
421	m00309p	12(S)-HPETE
422	m00309r	12(S)-HPETE
423	m00309s	12(S)-HPETE
424	m00310c	12,13-epoxy-(6Z,9Z)-octadecadienoic acid
425	m00314c	12,13-hydroxyoctadec-9(z)-enoate
426	m00314r	12,13-hydroxyoctadec-9(z)-enoate
427	m00315c	12,15,18,21-tetracosatetraenoic acid
428	m00315s	12,15,18,21-tetracosatetraenoic acid
429	m00316c	12,15,18,21-tetracosatetraenoylcarnitine
430	m00316r	12,15,18,21-tetracosatetraenoylcarnitine
431	m00317c	12,15,18,21-tetracosatetraenoyl-CoA
432	m00317p	12,15,18,21-tetracosatetraenoyl-CoA
433	m00317r	12,15,18,21-tetracosatetraenoyl-CoA
434	m00321c	12-hetre
435	m00326c	12-keto-LTB4
436	m00326m	12-keto-LTB4
437	m00326p	12-keto-LTB4
438	m00326r	12-keto-LTB4
439	m00328c	12-oxo-10,11-dihydro-20-COOH-LTB4
440	m00328r	12-oxo-10,11-dihydro-20-COOH-LTB4
441	m00329c	12-oxo-20-carboxy-LTB4
442	m00329r	12-oxo-20-carboxy-LTB4
443	m00333c	12-oxo-c-LTB3
444	m00333m	12-oxo-c-LTB3
445	m00333p	12-oxo-c-LTB3
446	m00333r	12-oxo-c-LTB3
447	m00336c	13(S)-HODE
448	m00337c	13(S)-HPODE
449	m00339c	13,14-dihydro-15-oxo-lipoxin A4
450	m00341c	13,16,19-docosatrienoic acid
451	m00341r	13,16,19-docosatrienoic acid
452	m00341s	13,16,19-docosatrienoic acid
453	m00342c	13,16,19-docosatrienoylcarnitine
454	m00342m	13,16,19-docosatrienoylcarnitine
455	m00342r	13,16,19-docosatrienoylcarnitine
456	m00343c	13,16,19-docosatrienoyl-CoA
457	m00343m	13,16,19-docosatrienoyl-CoA
458	m00343r	13,16,19-docosatrienoyl-CoA
459	m00344c	13-carboxy-alpha-tocopherol
460	m00344m	13-carboxy-alpha-tocopherol
461	m00345c	13-carboxy-alpha-tocotrienol
462	m00345m	13-carboxy-alpha-tocotrienol
463	m00346c	13-carboxy-gamma-tocopherol
464	m00346m	13-carboxy-gamma-tocopherol
465	m00347c	13-carboxy-gamma-tocotrienol
466	m00347m	13-carboxy-gamma-tocotrienol
467	m00349c	13-cis-retinal
